poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
370.0,"Dobříš           (Příbram, STČ)","Souhlasíte, aby zastupitelstvo města Dobříš bez zbytečných odkladů a v souladu s právními předpisy schválilo takovou změnu územního plánu města Dobříš, která v lokalitě Brodce vyjme ze zastavitelných ploch pozemky, které byly ke dni vyhlášení tohoto referenda (27.09.2022) ve vlastnictví města Dobříše, s výjimkou pozemku parcelní číslo 1896/194 v katastrálním území Dobříš, který je zařazen do plochy využitelné pro občanské vybavení – tělovýchovné a sportovní zařízení?",13.-14.01.2023,6784,0.5436,ANO,"2 430 (65,89 %)","978    (26,52 %)",ANO             (1 696),
,,"Souhlasíte, aby zastupitelstvo města Dobříš zachovalo v územním plánu stanovené zásady etapizace, kde je mimo jiné určeno, že z obytných ploch by neměla být zahajována výstavba v dalších lokalitách do doby realizace velké většiny rodinných domů v lokalitách: Nad Papežem, Javorová, Na Kole, Západní zóna, a při nejbližší změně územního plánu upřesnilo, že velkou většinou se v tomto rozumí nejméně 85 %?",,,,,"2 496 (67,68 %)","910    (24,67 %)",ANO             (1 696),
,,"Má územní plán města Dobříše i jeho změny vylučovat rozšíření možnosti zástavby v okolní krajině oproti současnému stavu v lokalitách, které byly ke dni vyhlášení tohoto referenda (27.09.2022) nezastavěným územím, s výjimkou případů, kdy by nutnost změny vyplývala z právního předpisu nebo kdyby se jednalo o veřejně prospěšné stavby?",,,,,"2 496 (67,68 %)","906    (24,57 %)",ANO             (1 696),
371.0,"Huzová      (Olomouc, OLK)",Souhlasíte s projekční přípravou a případnou výstavbou nové budovy obecního úřadu?,2023-02-25 00:00:00,446,0.2556,NE,"16      (14,03 %)","96      (84,21 %)",NE           (112),
372.0,"Ptenín               (Plzeň-jih, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Ptenín podnikalo v rámci své samostatné působnosti kroky směřující k podpoře výstavby větrných elektráren na území obce Ptenín, při splnění hygienické normy ČR, směrem na obec Bolkov a s tím související kroky směřující k přijetí finanční dotace od investora a provozovatele těchto větrných elektráren v řádech milionů korun a k jejich využití na další rozvoj obce Ptenín?",13.-14.01.2023,164,0.7439,ANO,"57      (46,72 %)","63      (51,64 %)",ANO         (41),
373.0,"SM Kladno    (Kladno, STČ)","Souhlasíte s tím, aby Statutární město Kladno na celém svém území, z důvodu ochrany veřejného pořádku a zvýšení bezpečnosti ve městě, učinilo veškeré možné kroky ve své samostatné působnosti k bezodkladnému zamezení provozu hazardních her uvedených v § 3 odst. 2 písm. d) a e) zákona č. 186/2016 Sb., o hazardních hrách?",13.-14.01.2023,"Krajský soud v Praze rozhodl, že hlasování v místním referendu konaném ve dnech 13. - 14. 1. 2023 ve statutárním městě Kladně je neplatné a zastupitelstvo SM Kladna je do 30 dnů od právní moci usnesení soudu povinno rozhodnout o termínu opakovaného hlasování v místním referendu o totožné otázce (viz usnesení č. j. 51 A 5/2023 - 70 ze dne 16. února 2023). ",,,,,,
374.0,"SM Karlovy Vary (Karlovy Vary, KVK)",Jste pro obnovu litinové vřídelní kolonády architektů F. Fellnera a H. Helmera na místě současné kolonády z roku 1975?,13.-14.01.2023,35851,0.3091,NE,"7 465 (67,37 %)","3 074 (27,74 %)",NE                 (8 963),
375.0,"Dudín              (Jihlava, VYS)",Má se vedení obce Dudín ve volebním období 2022-2026 zabývat možností výstavby Domova pro seniory v naší obci?,13.-14.01.2023,153,0.7582,ANO,"86      (74,14 %)","30      (25,86 %)",ANO         (39),
376.0,"Habřina           (Hradec Králové, HKK)","Souhlasíte s tím, aby zastupitelstvo obce Habřina podniklo veškeré nezbytné kroky včetně udělení nutných souhlasů k tomu, aby byla umožněna realizace projektu obnovy areálu kostela sv. Václava na Chloumku a související výstavba včetně rondelu dle architektonického návrhu a příslušné dokumentace vypracované architektonickým studiem, společností ARN Studio, s.r.o., představených na veřejné prezentaci spojené s besedou, konané dne 13. 10. 2021, a jehož vizualizace byla distribuována občanům obce Habřina v prosinci 2021 a který je k nahlédnutí na obecním úřadě?",13.-14.01.2023,236,0.7542,ANO,"111    (62,36 %)","65      (36,52 %)",ANO         (59),
377.0,"Hruška        (Prostějov, OLK)","Souhlasíte s demolicí budovy s číslem popisným 26, na pozemku p. č. st. 54; stavba občanského vybavení – bývalá škola?",13.-14.01.2023,184,0.6304,ANO,"35      (30,17 %)","80      (68,97 %)",ANO         (46),
378.0,"Trnová               (Plzeň-sever, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Trnová v samostatné působnosti podniklo veškeré právní kroky k tomu, aby v katastrálním území Trnová u Plzně nedošlo k realizaci záměru názvem ""Stanovení dobývacího prostoru Krašovice a hornická činnost na výhradním ložisku kaolinu Krašovice"", jehož předmětem je vybudování dobývacího prostoru Krašovice a s tím související činnost?",13.-14.01.2023,758,0.6319,ANO,"410    (85,59 %)","43        (8,98 %)",ANO       (190),
379.0,"Krašovice         (Plzeň-sever, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Krašovice v samostatné působnosti podniklo veškeré právní kroky k tomu, aby v katastrálním území Krašovice nedošlo k realizaci záměru s názvem ""Stanovení dobývacího prostoru Krašovice a hornická činnost na výhradním ložisku kaolinu Krašovice"", jehož předmětem je vybudování dobývacího prostoru Krašovice a s tím související činnost?",13.-14.01.2023,304,0.7237,ANO,198          (90 %),"14        (6,36 %)",ANO         (76),
380.0,"Dolní Řasnice (Liberec, LBK)","Souhlasíte s tím, aby zastupitelstvo obce Dolní Řasnice    v samostatné působnosti obce již nepodnikalo žádné kroky směřující k výstavbě větrných elektráren v katastru obce?",2023-04-01 00:00:00,443,0.6953,ANO,"71      (23,05 %)","234    (75,97 %)",ANO       (111),
381.0,"Krásný Les    (Liberec, LBK)","Souhlasíte s tím, aby obecní zastupitelstvo Krásného Lesa v samostatné působnosti činilo veškeré kroky k tomu, aby změnou územního plánu obce Krásný Les, katastrální území 673960, nemohla vzniknout plocha, která by umožňovala výstavbu větrných elektráren?                                                                                                                                                                                                                                                                                                      ",2023-04-01 00:00:00,404,0.5718,ANO,"75      (32,47 %)","154    (66,67 %)",ANO       (101),
382.0,"SM Kladno    (Kladno, STČ)","Souhlasíte s tím, aby Statutární město Kladno na celém svém území, z důvodu ochrany veřejného pořádku a zvýšení bezpečnosti ve městě, učinilo veškeré možné kroky ve své samostatné působnosti k bezodkladnému zamezení provozu hazardních her uvedených v § 3 odst. 2 písm. d) a e) zákona č. 186/2016 Sb., o hazardních hrách?",2023-04-15 00:00:00,"Krajský soud v Praze rozhodl v řízení o návrhu na vyhlášení místního referenda o návrhu na vydání předběžného opatření, že statutární město Kladno je povinno zdržet se organizace a zajištění opakovaného hlasování v místním referendu, které je stanoveno na sobotu 15. dubna 2023 (viz usnesení č. j. 54 A 25/2023 - 31 ze dne 13. dubna 2023).",,,,,,
383.0,"Stará Červená Voda (Jeseník, OLK)","Souhlasíte s tím, aby obec Stará Červená Voda učinila v samostatné působnosti veškeré možné kroky k tomu, aby v katastrálním území obce nemohlo dojít k výstavbě výroben elektřiny z obnovitelných zdrojů energie o celkovém instalovaném elektrickém výkonu 1 MW a více?",2023-05-13 00:00:00,507,0.5779,ANO,"235    (80,20 %)","56      (19,11 %)",ANO       (127),
384.0,"Sazomín               (Žďár nad Sázavou, VYS)",Souhlasíte s výstavbou tří větrných elektráren na katastru obce Sazomín?,2023-05-19 00:00:00,194,0.8144,ANO,"86      (54,43 %)","71      (44,94 %)",ANO          (49),
385.0,"Všeruby            (Plzeň-sever, PLK)","Souhlasíte s tím, aby zastupitelstvo města Všeruby            v samostatné působnosti podniklo veškeré právní kroky směřující k zamezení výstavby větrných elektráren na území města Všeruby?",2023-06-09 00:00:00,1265,0.3898,ANO,"409    (82,96 %)","71      (14,40 %)",ANO       (317),
386.0,"Staré Město (Svitavy, PAK)","Souhlasíte s tím, aby orgány obce Staré Město činily všechny potřebné kroky k přípravě a následné realizaci cyklostezky mezi Starým Městem a Moravskou Třebovou v připravené a schválené trase od Starého Města - jih a dále středem pole dle usnesení zastupitelstva z 30. května 2018 a dokončených komplexních pozemkových úprav, které na základě požadavků obce tuto trasu připravily?",2023-04-21 00:00:00,825,0.4982,ANO,"335    (81,51 %)","70      (17,03 %)",ANO       (207),
387.0,"SM Kladno    (Kladno, STČ)","Souhlasíte s tím, aby Statutární město Kladno na celém svém území, z důvodu ochrany veřejného pořádku a zvýšení bezpečnosti ve městě, učinilo veškeré možné kroky ve své samostatné působnosti k bezodkladnému zamezení provozu hazardních her uvedených v § 3 odst. 2 písm. d) a e) zákona č. 186/2016 Sb., o hazardních hrách?",03.-04.10.2025,50824,0.2507,NE,"10 752 (84,40 %)","1 041   (8,17 %)",NE               (12 706),
388.0,"Chyjice                 (Jičín, HKK)",Souhlasím s postavením fotovoltaické elektrárny na obecních pozemích č. 1018 a 1040 v katastrálním území Chyjice.,2023-06-24 00:00:00,125,0.488,ANO,"41      (67,21 %)","20      (32,79 %)",ANO          (32),
389.0,"Josefov        (Sokolov, KVK)","Souhlasíte s tím, aby v obci Josefov k. ú. Luh nad Svatavou nebo k. ú. Radvanov byly postaveny                      a provozovány větrné elektrárny?",2023-09-09 00:00:00,327,0.5872,ANO,48            (25 %),"141    (73,44 %)",ANO          (82),
390.0,"Dobšice     (Nymburk, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Dobšice podnikalo v rámci své samostatné působnosti kroky 
směřující ke stavebním úpravám objektu sběrného dvora v Libněvsi, č. parc. 42/46, k. ú. Dobšice 
u Žehuně, za účelem vybudování druhé hasičské zbrojnice v obci s klubovnou pro schůze SDH Dobšice, 
s tepelným čerpadlem, krbem na tuhá paliva, garáží, koupelnou, WC, skladem, za cenu z roku 2020 
ve výši 2 429 587 Kč a s tím související kroky směřující k přijetí finanční dotace ve výši pouhých 50 % 
z uznatelných nákladů?",2023-10-07 00:00:00,197,0.3503,ANO,"1           (1,45 %)","67      (97,10 %)",ANO          (50),
391.0,"Siřejovice (Litoměřice, ÚSK)",Souhlasíte s výstavbou zařízení na plazmové zplyňování odpadu (energetické nebo materiálové využití komunálního odpadu) na skládce SONO v katastru obce Želechovice?,2023-10-07 00:00:00,233,0.4936,ANO,"15      (13,04 %)","96      (83,48 %)",ANO          (59),
,,"Souhlasíte, aby obec Siřejovice využila všech dostupných právních prostředků, aby zabránila výstavbě zařízení na plazmové zplyňování odpadu (energetické nebo materiálové využití komunálního odpadu) na skládce odpadů SONO v katastru obce Želechovice?",,,,,"94      (81,74 %)","18      (15,65 %)",ANO          (59),
392.0,"Hořátev     (Nymburk, STČ)",Chtějí občané Hořátve na svém katastrálním území těžbu písku?,2023-10-07 00:00:00,616,0.5974,ANO,"67      (18,21 %)","300    (81,52 %)",ANO       (154),
393.0,"Vidnava         (Jeseník, OLK)",Souhlasíte s těžbou kaolinu na katastrálním území města Vidnavy?,2023-10-21 00:00:00,989,0.4702,ANO,"94      (20,22 %)","361    (77,63 %)",ANO       (248),
394.0,"Tuchoměřice  (Praha-západ, STČ)","1. Souhlasíte s tím, aby obec Tuchoměřice povolila na pozemku stavební parcele parc. č. st. 292 a pozemku pozemkové parcele parc. č. 197, oba pozemky v katastrálním území Kněžívka, provoz hazardních her uvedených v § 3 odst. 2 písm. d) až t) zákona 
č. 186/2016 Sb., o hazardních hrách, tj. bingo, technická hra a živá hra?",2023-09-15 00:00:00,1163,0.6139,ANO,"109    (15,27 %)","603    (84,45 %)",ANO       (291),
,,"2. Souhlasíte s tím, aby obec Tuchoměřice zřídila obecní policii, pokud bude v obecním referendu odsouhlasen na pozemku stavební parcele parc. č. st. 292 a pozemku pozemkové parcele parc. č. 197, oba pozemky v katastrálním území Kněžívka provoz hazardních her uvedených v § 3 odst. 2 písm. d) až t) zákona č. 186/2016 Sb., o hazardních hrách, tj. bingo, technická hra a živá hra?",,,,,"230    (32,21 %)","444    (62,18 %)",ANO       (291),
395.0,"Hostěnice          (Brno-venkov, JHM)",Souhlasíte se vstupem obce Hostěnice do Svazku obcí pro vodovody a kanalizace - Šlapanicko?,2023-10-20 00:00:00,606,0.6304,ANO,"102    (26,70 %)","274    (71,73 %)",ANO       (152),
396.0,"Krouna        (Chrudim, PAK)","Souhlasíte s tím, aby orgány obce Krouna 
umožnily umístění jedné větrné elektrárny na obecním pozemku p. č. 1/5 v katastrálním 
území Františky?",2023-11-11 00:00:00,1112,0.5306,ANO,"415    (70,34 %)","164    (27,80 %)",ANO       (278),
397.0,"Anenská Studánka (Ústí nad Orlicí, PAK)","Souhlasíte s výstavbou větrných elektráren na území obce Anenská Studánka a s uzavřením smlouvy o spolupráci s obcí na společném záměru se společností NOHO Energy s.r.o., IČO: 08579181?",2023-11-11 00:00:00,136,0.5,ANO,"50      (73,53 %)",17            (25 %),ANO          (34),
398.0,"Svojetice         (Praha-východ, STČ)",Chcete Kruhový objezd v křižovatce ulic Choceradská       a K Tehovci?,2023-12-01 00:00:00,929,0.3262,NE,"67      (22,11 %)","233    (76,90 %)",NE           (233),
399.0,"Hevlín           (Znojmo, JHM)",Souhlasíte s výstavbou větrných elektráren                           v katastrálním území obce Hevlín?,2023-11-04 00:00:00,1102,0.2486,NE,"156    (56,93 %)","116    (42,34 %)",NE           (276),
400.0,"Chvalíkovice (Opava, MSK)","Souhlasíte s tím, aby obec Chvalíkovice namísto výstavby obecní centrální čistírny 
odpadních vod v obci Chvalíkovice vybudovala domácí čistírny odpadních vod v obci 
Chvalíkovice?",2023-12-09 00:00:00,549,0.4645,ANO,"122    (47,84 %)","118    (46,27 %)",NE           (138),
401.0,"Ctětín          (Chrudim, PAK)","Souhlasíte, aby obecní zastupitelstvo Ctětína                        v samostatné působnosti činilo veškeré kroky k tomu, aby zabránilo rozšíření skládky Nasavrky na katastrální území Ctětín (617954) ve všech stupních řízení, a to především prostřednictvím změn v návrhu územního plánu obce Ctětína?",2024-01-12 00:00:00,215,0.5721,ANO,"57      (46,34 %)","65      (52,85 %)",ANO          (54),
402.0,"Jáchymov     (Karlovy Vary, KVK)","Souhlasíte s tím, aby město Jáchymov prodalo společnosti BRATRSTVÍ s.r.o., IČ: 25921690, svoje pozemky: pozemek parc. č. 5280, pozemek parc. č. 1878/3, pozemek parc. č. 1878/21, pozemek parc. č. 1878/25, pozemek parc. č. 1878/17, pozemek parc. č. 1853/3, pozemek parc. č. st. 1601 a pozemek parc. č. 1878/20, v katastru obce za účelem vybudování projektu hromadné rekreace ""Ubytovací komplex Bratrství"", tj. projektu výstavby apartmánových domů a parkovacích ploch?",2024-02-24 00:00:00,1846,0.2752,NE,"25         (4,92 %)","477    (93,90 %)",NE           (462),
403.0,"Moravský Beroun (Olomouc, OLK)","Souhlasíte s tím, aby město Moravský Beroun zamezilo výstavbě větrných elektráren na území města Moravský Beroun?",07.-08.06.2024,2289,0.3919,ANO,"495    (55,18 %)","379    (42,25 %)",NE           (573),
404.0,"Němčice nad Hanou (Prostějov, OLK)","Souhlasíte s rozšířením stávající skládky odpadů v katastrálním území Němčice nad 
Hanou na těleso staré skládky odpadů, a to na pozemky ve vlastnictví města Němčice nad 
Hanou parcelní číslo 5939 a parcelní číslo 5954 v katastrálním území Němčice nad 
Hanou?",2024-03-23 00:00:00,1563,0.3461,NE,"271    (50,09 %)","263    (48,61 %)",NE           (391),
405.0,"Batňovice    (Trutnov, HKK)","Souhlasíte s tím, aby obec Batňovice pokračovala v krocích vedoucích k prodeji restaurace U Bulánka zájemci Petru Zachovi, který je dlouholetým provozovatelem této restaurace?",07.-08.06.2024,638,0.5611,ANO,"261    (72,91 %)","90      (25,14 %)",ANO       (160),
406.0,"Líšťany              (Louny, ÚSK)",Souhlasíte s výstavbou větrných elektráren v severozápadním okraji katastrálního území Líšťany?,2024-03-22 00:00:00,390,0.459,ANO,"65      (36,31 %)","113    (63,13 %)",ANO          (98),
407.0,"Polička           (Svitavy, PAK)","Požadujete, aby Město Polička učinilo veškeré možné kroky v samostatné působnosti vedoucí k zákazu provozování hazardních her uvedených v § 3 odst. 2 písm. d), e), f) zákona č. 186/2016 Sb., o hazardních hrách, ve znění pozdějších předpisů, a to na celém svém území?",03.-04.10.2025,6906,0.3784,ANO,"1 863 (71,30 %)","640    (24,49 %)",ANO              (1 727),
408.0,"Dobkovice       (Děčín, ÚSK)","Souhlasíte s tím, aby obec Dobkovice učinila veškeré kroky vedoucí k zákazu provozování hazardních her, zejména totalizátorových her, technických her, živých her a turnajů malého rozsahu uvedených v § 3 odst. 2 písmene c, e, f a h) zákona č. 186/2016 Sb., o hazardních hrách, a to na celém svém území?",2024-05-24 00:00:00,529,0.569,ANO,"165    (54,82 %)","133    (44,19 %)",ANO       (133),
409.0,"Ohaře                 (Kolín, STČ)","Souhlasíte s tím, aby obec Ohaře učinila veškeré možné kroky ve své samostatné působnosti a umožnila výstavbu 8 sil na obilí o výšce 28 m v areálu Proteco Agro s.r.o. Ohaře?",07.-08.06.2024,251,0.5299,ANO,"36      (27,07 %)","96      (72,18 %)",ANO          (63),
410.0,"Dobřany           (Plzeň-jih, PLK)","1. Souhlasíte s tím, aby město Dobřany pořádalo novoroční ohňostroj?",07.-08.06.2024,4851,0.2579,NE,"687    (54,92 %)","506    (40,45 %)",NE                  (1 213),
,,2. Souhlasíte se zákazem celoplošného používání zábavné pyrotechniky na území města Dobřany a části obce Šlovice a Vodní Újezd s výjimkou 1.1. a 31. 12.?,,,,,"812    (64,91 %)","366    (29,26 %)",NE                  (1 213),
411.0,"Bělá pod Bezdězem (Mladá Boleslav, STČ)","Souhlasíte, aby Město Bělá pod Bezdězem zrealizovalo   v termínu do 31.10.2026 prodej pozemku p.č. 56/1 v k.ú. Vrchbělá za účelem rozvoje průmyslového areálu Vazačka?",07.-08.06.2024,3704,0.4571,ANO,"223    (13,17 %)","1 403 (82,87 %)",ANO       (926),
412.0,"Vřesina            (Opava, MSK)","Souhlasíte s tím, aby zastupitelstvo obce Vřesina schválilo změnu územně plánovací dokumentace tak, 
aby v katastrálním území Vřesina u Opavy na části pozemku parc. č. 1239, který není ve vlastnictví obce 
Vřesina, mohlo dojít k výstavbě objektu fotovoltaické elektrárny s pozemní instalací na ploše nejvýše 
122.170 m2?",07.-08.06.2024,1303,0.4259,ANO,"207    (37,30 %)","343    (61,80 %)",ANO       (326),
413.0,"Postřižín        (Mělník, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Postřižín podniklo kroky směřující k výstavbě multifunkčního domu na pozemku p. č. 183/87 v k. ú. Postřižín?",07.-08.06.2024,1090,0.3193,NE,"243    (69,83 %)","99      (28,45 %)",NE           (273),
414.0,"Dolní Lutyně (Karviná, MSK)","Souhlasíte s tím, aby obec Dolní Lutyně podala námitky, popř. připomínky proti návrhu aktualizace Zásad územního rozvoje Moravskoslezského kraje, která vytyčuje plochu areálu Strategického podnikatelského parku na území Dolní Lutyně, a aby rovněž uplatňovala 
námitky proti povolení stavby areálu Strategického podnikatelského parku?",07.-08.06.2024,4371,0.5655,ANO,"2 176 (88,03 %)","246      (9,95 %)",ANO              (1 093),
415.0,"Nová Bystřice (Jindřichův Hradec, JHČ)","Souhlasíte s tím, aby Jihočeský kraj jako investor realizoval akci Východní obchvat Nové Bystřice, silnice II/128, dle v současné době společností Pontex, s.r.o. zpracovávané projektové dokumentace?",07.-08.06.2024,2581,0.5509,ANO,"1 007 (70,82 %)","398    (27,99 %)",ANO       (646),
416.0,"Mšené-lázně (Litoměřice, ÚSK)","Souhlasíte s výstavbou větrných elektráren v katastrálních územích Mšené-lázně, Vrbice u Mšeného-lázní, Ředhošť, Ječovice, Brníkov, Podbradec?",07.-08.06.2024,1495,0.5605,ANO,"286    (34,13 %)","534    (63,72 %)",ANO       (374),
417.0,"Chrášťany        (Praha-západ, STČ)","Souhlasíte s tím, aby zastupitelstvo obce a starosta obce Chrášťany u Prahy učinili veškeré možné kroky vedoucí k zákazu zřízení provozoven hazardních her a k zákazu provozování hazardních her na celém území obce Chrášťany u Prahy?",2024-06-14 00:00:00,691,0.5572,ANO,"299    (77,66 %)","73      (18,96 %)",ANO       (173),
418.0,"Lštění          (Benešov, STČ)","Souhlasíte s tím, aby v Územním plánu obce Lštění byla část plochy pozemku č. p. 257/221 o výměře 5 800 m2, nacházející se v místní části Zlenice podél ulice Hlavní
a Ke Studánce, změněna na plochu ´smíšená obytná´?",07.-08.06.2024,352,0.5767,ANO,"103    (50,74 %)","94      (46,31 %)",ANO          (88),
419.0,"Kynšperk nad Ohří (Sokolov, KVK)","Souhlasíte s tím, aby na území obce Kynšperk nad Ohří, v katastrálním území Chotíkov u Kynšperka nad Ohří byly postaveny a provozovány větrné elektrárny a město zadalo změnu znění Územního plánu Kynšperk nad Ohří tak, aby umožňoval výstavbu větrných elektráren v tomto katastrálním území? ",20.-21.09.2024,3702,0.3436,NE,"328    (25,79 %)","874    (68,71 %)",NE           (926),
420.0,"Braňany             (Most, ÚSK)","Má obec Braňany při výkonu své samostatné působnosti využít všech zákonných prostředků (zejména z titulu schvalování územního plánu, účastníka správních řízení a vlastníka pozemků), aby zabránila těžbě kamene v oblasti Braňany - Červený vrch?",2024-09-02 00:00:00,990,0.4747,ANO,"411    (87,45 %)","43         (9,15 %)",ANO       (248),
421.0,"Rasošky        (Náchod, HKK)","Souhlasíte, aby obec vyjednávala s investorem v oblasti energetiky, pokusila se zajistit výhody pro obec a občany a uzavřela s ním takovou smlouvu, když benefity budou minimálně:
- Každý rok příspěvek na podporu obce ve výši 10 % rozpočtu obce,
- Každý rok kompenzace ceny elektřiny ve výši 10 000,- Kč za každé odběrné místo na území obce,
- Vybudování „edukativní“ stezky přes elektrárnu jako spojnici obcí Vlkov, Rasošky a Nový Ples včetně odpočinkových zón,
- Vybudování fotovoltaické elektrárny na obecní budově",20.-21.09.2024,558,0.552,ANO,"77      (25,00 %)","220    (71,43 %)",ANO       (140),
422.0,"Lačnov             (Vsetín, ZLK)","1. Souhlasíte s tím, aby se Zastupitelstvo obce Lačnov zabývalo možností výstavby společenského centra v obci?",20.-21.09.2024,674,0.4496,ANO,"232    (76,57 %)","54      (17,82 %)",ANO       (169),
,,"2. Souhlasíte s výstavbou společenského centra v lokalitě na Kozinci naproti muzea Vařákových pasek, na pozemcích p.č. 1953/1, p.č. 1953/11, p.č. 1953/33, p.č. 1953/44 a p.č. 1953/45?",,,,,"131    (43,23 %)","133    (43,89 %)",NE           (169),
,,"3. Souhlasíte s výstavbou společenského centra v lokalitě za fotbalovým hřištěm, na pozemcích p.č. 2790/8, p.č. 2790/7, p.č. 2790/1, p.č. 2790/3, p.č. 2790/4 a p.č. 2790/11?",,,,,"109    (35,97 %)","152    (50,17 %)",NE           (169),
423.0,"Žitenice (Litoměřice, ÚSK)","Souhlasíte s tím, aby obec Žitenice podnikla veškeré potřebné kroky k tomu, aby se stala vlastníkem souboru nemovitostí souhrnně označených jako „zámek Žitenice“ (pozemky p. č. st. 1, 2/1, 2/2, 3, 53, 521, a p.p. č. 56/1, 56/3, 56/4, 56/5, 56/6, 56/7, 56/8, 56/9, 56/10, 56/11, to vše v k. ú. Žitenice a stavby na těchto pozemcích)?",20.-21.9.2024,1313,0.5149,ANO,"463    (68,49 %)","184    (27,22 %)",ANO       (329),
424.0,"Nový Ples    (Náchod, HKK)","Souhlasíte s tím, aby Zastupitelstvo obce Nový Ples podnikalo v rámci své samostatné působnosti kroky směřující k podpoře výstavby FVE na zemědělských pozemcích v katastru obce Nový Ples, ve vzdálenosti minimálně 400 metrů od zastavěného území obce směrem na Rasošky a s tím související kroky směřující k uzavření plánovací smlouvy s investorem stavby?",20.-21.9.2024,284,0.6232,ANO,"46      (25,99 %)","130    (73,45 %)",ANO          (71),
425.0,"Mirovice           (Písek, JHČ)",Souhlasíte s plánovanou výstavbou fotovoltaické elektrárny v katastrálním území Touškov?,20.-21.9.2024,1207,0.3952,ANO,"43         (9,01 %)","429    (89,94 %)",ANO       (302),
426.0,"Bulovka         (Liberec, LBK)",Souhlasím s výstavbou větrných elektráren ve správním území obce Bulovka.,20.-21.9.2024,722,0.3753,ANO,"135    (49,82 %)","129    (47,60 %)",NE           (181),
427.0,"Křižany          (Liberec, LBK)",Souhlasíte s výstavbou větrných elektráren na území obce Křižany?,20.-21.9.2024,667,0.5293,ANO,"156    (44,19 %)","177    (50,14 %)",ANO       (167),
428.0,"Cerekvice nad Bystřicí                 (Jičín, HKK)","Souhlasíte s tím, aby střecha věže Kaple Zvěstování Panně Marii v Cerekvici nad Bystřicí byla obnovena do původní barokní podoby ve stylu báně s lucernou?",20.-21.9.2024,644,0.4161,ANO,"173    (64,55 %)","82      (30,60 %)",ANO       (161),
429.0,"Rohozná        (Svitavy, PAK)","Souhlasíte s tím, aby orgány obce Rohozná umožnily umístění jedné větrné elektrárny v katastrálním území Rohozná u Poličky?",20.-21.9.2024,493,0.4097,ANO,"154    (76,24 %)","41      (20,30 %)",ANO       (124),
430.0,"Dalečín                 (Žďár nad Sázavou, VYS)",Souhlasíte s umístěním 2 větrných elektráren v katastrálním území Dalečína?,20.-21.9.2024,538,0.4796,ANO,"102    (39,53 %)","153    (59,30 %)",ANO       (135),
431.0,"Horní Lideč    (Vsetín, ZLK)","1. Souhlasíte, aby se v obci Horní Lideč postavil Domov pro seniory?",20.-21.9.2024,1081,0.5902,ANO,"275    (43,10 %)","348    (54,55 %)",ANO       (271),
,,"2. Souhlasíte, aby se Domov pro seniory postavil v navrhované  lokalitě vedle základní školy v Horní Lidči?",,,,,"225    (35,27 %)","400    (62,70 %)",ANO       (271),
432.0,"Radňovice
(Žďár nad Sázavou, VYS)","1. Souhlasíte, aby byl v obci Radňovice vybudován obchvat obce na silnici I/19 dle projektu ŘSD – varianta E1 (http://radnovice.cz/obchvat_E1.pdf)?",20.-21.9.2024,269,0.7398,ANO,"111    (55,78 %)","83      (41,71 %)",ANO          (68),
,,"2. Souhlasíte, aby byl do změny územního plánu č. 2 obce Radňovice zanesen koridor umožňující výstavbu jižní varianty obchvatu obce Radňovice (pod kolejemi)?",,,,,"152    (76,38 %)","42      (21,11 %)",ANO          (68),
433.0,"Potůčky
(Karlovy Vary, KVK)",1. Souhlasíte s těžbou živce/živcových nerostů v katastrálním území obce Potůčky a jejím přilehlém okolí?,20.-21.9.2024,249,0.5823,ANO,"2           (1,38 %)","138    (95,17 %)",ANO          (63),
,,2. Má obec Potůčky při výkonu své samostatné působnosti využít všech zákonných prostředků k faktickému zabránění těžby živce/živcových nerostů v katastrálním území obce Potůčky a jejím přilehlém okolí?,,,,,"127    (87,59 %)","11         (7,59 %)",ANO          (63),
434.0,"Jamné             (Jihlava, VYS)","Souhlasíte s výstavbou větrné elektrárny v katastrálním území obce Jamné u Jihlavy za předpokladu, že tato větrná elektrárna bude ve vlastnictví obce Jamné u Jihlavy?",20.-21.9.2024,415,0.6145,ANO,"92      (36,08 %)","150    (58,82 %)",ANO       (104),
435.0,"Strmilov   (Jindřichův Hradec, JHČ)",Souhlasíte s výstavbou větrných elektráren na správním území města Strmilov?,2024-11-17 00:00:00,1144,0.5673,ANO,"169    (26,04 %)","466    (71,80 %)",ANO       (286),
